Index No.,구분,검색어,유의어
Tit_R_1,곡명,&,"&,앤드,앤,and,"
Tit_K_1,곡명,@ my worst,"앳마이워스트,@ my worst,@myworst,앳 마이 워스트"
Nam_R_1,아티스트명,015B,"015B,공일오비"
Tit_K_2,곡명,0X1=LOVESONG,"0X1=LOVESONG,제로바이원러브송"
Nam_R_2,아티스트명,10cm,"10cm,십센치,10센치"
Nam_R_3,아티스트명,12月,"12月,12월"
Nam_R_4,아티스트명,19XX,"19XX,19엑스엑스"
tag_K_1,태그명,1TEAM,"1TEAM,원팀"
tag_K_2,태그명,1THE9,"1THE9,원더나인"
Nam_R_5,아티스트명,24KGoldn,"24KGoldn,24케이골든"
Nam_K_2,아티스트명,2am,"2am 투에이엠,투에이앰"
tag_K_3,태그명,2BIC,"2BIC,투빅"
Tit_R_2,곡명,2easy,"2easy,투이지"
tag_K_4,태그명,2FACE,"2FACE,투페이스"
Nam_K_3,아티스트명,2LSON,"에일리,AILEE,2LSON,투엘슨"
Nam_R_6,아티스트명,2PM,"2PM,투피엠"
Tit_R_3,곡명,2U,"2U,투유"
Tit_R_4,곡명,3!4!,"3!4!,쓰리포"
Tit_K_3,곡명,30 Sexy,"30 Sexy,30Sexy,써티섹시,써티 섹시"
Nam_R_7,아티스트명,347aidan,"347aidan,347에이단"
Tit_K_4,곡명,3M,"3M,쓰리엠"
Nam_R_8,아티스트명,3SCAPE,"3SCAPE,쓰리 스케입,쓰리스케입"
Nam_R_9,아티스트명,5 Seconds Of Summer,"5 Seconds Of Summer,5SecondsOfSummer,5 세컨즈 오브 서머,5세컨즈오브서머"
tag_K_5,태그명,6 crazy,"6 crazy,6crazy,SIXC,식스 크레이지,식스크레이지"
Nam_R_10,아티스트명,6LACK,"6LACK,블랙"
Nam_R_11,아티스트명,88rising,"88rising,88라이징,"
Tit_K_5,곡명,9-TEEN,"나인틴,nineteen,9teen"
Nam_K_4,아티스트명,A$AP Ferg,"A$AP Ferg,A$APFerg,에이셉 퍼그,에이셉퍼그"
Nam_R_12,아티스트명,A.C.E,"A.C.E,ACE,에이스"
Tit_K_6,곡명,A.D.H.D,"A.D.H.D,ADHD,에이디에이치디"
Tit_R_5,곡명,A.M.,"A.M.,에이엠"
tag_K_6,태그명,ABNEW,"ABNEW,에비뉴,AB6IX,에이비식스"
Tit_K_7,곡명,About,"About,어바웃"
Nam_R_13,아티스트명,AboutU,"AboutU,어바우츄"
Nam_R_14,아티스트명,AC/DC,"AC/DC,ACDC,에이씨 디씨,에이씨디씨"
Tit_K_8,곡명,Acapulco,"Acapulco,아카풀코"
