value
I'm,아임
blueberries,블루베리스,블루베리즈
Uh-Oh,어오,어 오
STARLIGHT,스타라이트,스타라잇
Christmassy,크리스마시
Enemy,에너미
90's Love,나인티스 러브,나인티스러브
cane,케인,캐인
Santa’s,산타스
O Holy Night,오 홀리 나이트,오홀리나이트
Want,원트
Means,민스,민즈
Pit A Pat,핏 어 팻,핏어팻
WEEKEND,위켄드,위캔드
Hello,헬로,헬로우
ALIEN,에일리언,에이리언
make a wish,메이크 어 위시,메이크어위시
Gotta Go,가타 고,가타고,가터 고,가터고
LA DI DA,라디다,라 디 다
Ridin',riding,라이딩,라이딘
Fake,페이크,패이크
DUN DUN,던 던,던던
Left & Right,레프트 앤드 라이트,레프트 앤 라이트
la song,라 송,라송
B.A.D,BAD,배드,비 에이 디,비에이디
2 kids,투 키즈,투키즈
Tempo,템포,탬포
Gloomy,글루미,그루미
Starry,스타리,스태리
Luv,러브,love,럽
Night,나이트,나잇
YES or YES,예스 오어 예스,예스오예스,예스 올 예스,예스올예스
MORE & MORE,more and more,모어앤모어,몰앤몰
yes,예스
